dataset,target,config,k,seed,f1
EAModelSet,Type,LLM(NL+NT+ET),2,6,0.752066873042271
EAModelSet,Type,LLM(NL+NT+ET),2,7,0.7476755055831066
EAModelSet,Type,LLM(NL+NT+ET),2,8,0.7435381815784727
EAModelSet,Type,LLM(NL+NT+ET),2,9,0.7359094658829948
EAModelSet,Type,LLM(NL+NT+ET),3,0,0.744331384425301
EAModelSet,Type,LLM(NL+NT+ET),3,1,0.753736580344702
EAModelSet,Type,LLM(NL+NT+ET),3,2,0.7410746275316251
EAModelSet,Type,LLM(NL+NT+ET),3,3,0.7427275741699944
EAModelSet,Type,LLM(NL+NT+ET),3,4,0.7427896564856102
EAModelSet,Type,LLM(NL+NT+ET),3,5,0.7460959436799817
EAModelSet,Type,LLM(NL+NT+ET),3,6,0.729069891212544
EAModelSet,Type,LLM(NL+NT+ET),3,7,0.7426460164803491
EAModelSet,Type,LLM(NL+NT+ET),3,8,0.7364560448184593
EAModelSet,Type,LLM(NL+NT+ET),3,9,0.753845850325626
EAModelSet,Type,GNN(R),0,0,0.1485880264687028
EAModelSet,Type,GNN(R),0,1,0.17554093494601392
EAModelSet,Type,GNN(R),0,2,0.1944887490545352
EAModelSet,Type,GNN(R),0,3,0.1577280747743675
EAModelSet,Type,GNN(R),0,4,0.15196847495753069
EAModelSet,Type,GNN(R),0,5,0.16782864518252186
EAModelSet,Type,GNN(R),0,6,0.16395941944781944
EAModelSet,Type,GNN(R),0,7,0.14412767305320578
EAModelSet,Type,GNN(R),0,8,0.17321838831426759
EAModelSet,Type,GNN(R),0,9,0.20431032106950817
EAModelSet,Type,GNN(FTLM(NL)),0,0,0.6564188800473428
EAModelSet,Type,GNN(FTLM(NL)),0,1,0.6569712380393534
EAModelSet,Type,GNN(FTLM(NL)),0,2,0.6485506797643091
EAModelSet,Type,GNN(FTLM(NL)),0,3,0.6621908845168655
EAModelSet,Type,GNN(FTLM(NL)),0,4,0.6465302377529237
EAModelSet,Type,GNN(FTLM(NL)),0,5,0.6479306897564852
EAModelSet,Type,GNN(FTLM(NL)),0,6,0.6717966727184379
EAModelSet,Type,GNN(FTLM(NL)),0,7,0.6499454694060536
EAModelSet,Type,GNN(FTLM(NL)),0,8,0.6698135756933135
EAModelSet,Type,GNN(FTLM(NL)),0,9,0.6742435800378281
EAModelSet,Type,GNN(FTLM(NL)),1,0,0.6945932645747673
EAModelSet,Type,GNN(FTLM(NL)),1,1,0.6975339140285082
EAModelSet,Type,GNN(FTLM(NL)),1,2,0.7115225094368677
EAModelSet,Type,GNN(FTLM(NL)),1,3,0.6900327159793428
EAModelSet,Type,GNN(FTLM(NL)),1,4,0.6860699420305838
EAModelSet,Type,GNN(FTLM(NL)),1,5,0.6784676893521705
EAModelSet,Type,GNN(FTLM(NL)),1,6,0.6924170708034634
EAModelSet,Type,GNN(FTLM(NL)),1,7,0.706791442109183
EAModelSet,Type,GNN(FTLM(NL)),1,8,0.7015959538140086
EAModelSet,Type,GNN(FTLM(NL)),1,9,0.6825790875858204
EAModelSet,Type,GNN(FTLM(NL)),2,0,0.6704462461616741
EAModelSet,Type,GNN(FTLM(NL)),2,1,0.6739582877065904
EAModelSet,Type,GNN(FTLM(NL)),2,2,0.6819226808249534
EAModelSet,Type,GNN(FTLM(NL)),2,3,0.6769468857289632
EAModelSet,Type,GNN(FTLM(NL)),2,4,0.6811445394544309
EAModelSet,Type,GNN(FTLM(NL)),2,5,0.6819673937804546
EAModelSet,Type,GNN(FTLM(NL)),2,6,0.6760122641332156
EAModelSet,Type,GNN(FTLM(NL)),2,7,0.6785982605839707
EAModelSet,Type,GNN(FTLM(NL)),2,8,0.6810659237721604
EAModelSet,Type,GNN(FTLM(NL)),2,9,0.6781603029646683
EAModelSet,Type,GNN(FTLM(NL)),3,0,0.6960352086499405
EAModelSet,Type,GNN(FTLM(NL)),3,1,0.70970875773328
EAModelSet,Type,GNN(FTLM(NL)),3,2,0.6969197228477082
EAModelSet,Type,GNN(FTLM(NL)),3,3,0.6915581054640855
EAModelSet,Type,GNN(FTLM(NL)),3,4,0.6741388137663809
EAModelSet,Type,GNN(FTLM(NL)),3,5,0.694879570860152
EAModelSet,Type,GNN(FTLM(NL)),3,6,0.6715332158823278
EAModelSet,Type,GNN(FTLM(NL)),3,7,0.6769096591384387
EAModelSet,Type,GNN(FTLM(NL)),3,8,0.6995463925246876
EAModelSet,Type,GNN(FTLM(NL)),3,9,0.6980623506013666
EAModelSet,Type,GNN(FTLM(NL+NT)),1,0,0.7285006100165111
EAModelSet,Type,GNN(FTLM(NL+NT)),1,1,0.7128998889384778
EAModelSet,Type,GNN(FTLM(NL+NT)),1,2,0.7262865148310915
