dataset,target,model,k,seed,f1
Ecore-555,Abstract,Worde4MDE+RF,1,6,0.774382584538327
Ecore-555,Abstract,Worde4MDE+RF,1,7,0.7877845410834624
Ecore-555,Abstract,Worde4MDE+RF,1,8,0.8034725163697465
Ecore-555,Abstract,Worde4MDE+RF,1,9,0.7860745949868874
Ecore-555,Abstract,CMGPT,1,0,0.8283601856083781
Ecore-555,Abstract,CMGPT,1,1,0.8221994358673587
Ecore-555,Abstract,CMGPT,1,2,0.8165255232571895
Ecore-555,Abstract,CMGPT,1,3,0.8588034543388549
Ecore-555,Abstract,CMGPT,1,4,0.8218538076516635
Ecore-555,Abstract,CMGPT,1,5,0.8145541071285113
Ecore-555,Abstract,CMGPT,1,6,0.8151202000427058
Ecore-555,Abstract,CMGPT,1,7,0.8255668939812562
Ecore-555,Abstract,CMGPT,1,8,0.8259106088070468
Ecore-555,Abstract,CMGPT,1,9,0.8302641393569814
Ecore-555,Abstract,FTLM,1,0,0.9154114403301787
Ecore-555,Abstract,FTLM,1,1,0.8996838183004686
Ecore-555,Abstract,FTLM,1,2,0.9193192195796382
Ecore-555,Abstract,FTLM,1,3,0.9109103666107125
Ecore-555,Abstract,FTLM,1,4,0.911138998363332
Ecore-555,Abstract,FTLM,1,5,0.8991708955186125
Ecore-555,Abstract,FTLM,1,6,0.9082647525925375
Ecore-555,Abstract,FTLM,1,7,0.9067316178570437
Ecore-555,Abstract,FTLM,1,8,0.9136353615694642
Ecore-555,Abstract,FTLM,1,9,0.8994658095382141
ModelSet,Abstract,TF-IDF+SVM,1,0,0.6936078755114085
ModelSet,Abstract,TF-IDF+SVM,1,1,0.6944920318893917
ModelSet,Abstract,TF-IDF+SVM,1,2,0.6795627857795636
ModelSet,Abstract,TF-IDF+SVM,1,3,0.6855041236044225
ModelSet,Abstract,TF-IDF+SVM,1,4,0.6827093572375049
ModelSet,Abstract,TF-IDF+SVM,1,5,0.7038913739087738
ModelSet,Abstract,TF-IDF+SVM,1,6,0.6626608332139174
ModelSet,Abstract,TF-IDF+SVM,1,7,0.6888801015296699
ModelSet,Abstract,TF-IDF+SVM,1,8,0.6730736789730957
ModelSet,Abstract,TF-IDF+SVM,1,9,0.6878199408237048
ModelSet,Abstract,GloVe+SVM,1,0,0.01016089003684365
ModelSet,Abstract,GloVe+SVM,1,1,0.0
ModelSet,Abstract,GloVe+SVM,1,2,0.001660663305886423
ModelSet,Abstract,GloVe+SVM,1,3,0.0
ModelSet,Abstract,GloVe+SVM,1,4,0.02327379128694037
ModelSet,Abstract,GloVe+SVM,1,5,0.010958355949028728
